timestamp,full_time,region,work_site,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,number_of_employees,total_experience,salary,salary_change,bonus
29/11/2021 11:12,1,Львів,В офісі,1,34,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,Java,Medtech,Аутсорсингова,до 200,1.5,1600,1000.0,
29/11/2021 11:12,1,Івано-Франківськ,Віддалено,0,24,Вища,Немає,6,HR,Middle,,"E-commerce, Mobile",Аутсорсингова,до 200,2.0,900,300.0,100
29/11/2021 11:12,1,Київ,В офісі,0,23,Студент,Немає,3,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,Travel,Продуктова,до 50,1.5,1700,1200.0,
29/11/2021 11:12,1,Чернігів,Віддалено,0,23,Вища,Немає,3,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Intern/Trainee,,Medtech,Аутсорсингова,понад 1000,0.25,400,400.0,
29/11/2021 11:13,1,Київ,Віддалено,0,27,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Python,"Big Data, Geospatial",Аутсорсингова,понад 1000,2.0,1500,600.0,
29/11/2021 11:13,1,Дніпро,"Частково віддалено, частково в офісі",0,26,Вища,Немає,4,HR,Middle,,"Logistics, Medtech, Travel",Аутсорсингова,до 200,2.0,616,150.0,100
29/11/2021 11:13,1,Київ,"Частково віддалено, частково в офісі",0,27,Вища,Немає,5,"Data Science, Machine Learning, Big Data",Middle,Python,Adtech,Продуктова,до 50,3.0,3300,1300.0,
29/11/2021 11:13,1,Харків,В офісі,0,21,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,E-commerce,Продуктова,до 200,0.25,450,450.0,
29/11/2021 11:13,1,Київ,В офісі,1,21,Студент,Немає,4,Hardware Engineer,Intern/Trainee,,Hardware,Продуктова,до 1000,0.25,750,200.0,
29/11/2021 11:13,1,Київ,Віддалено,0,21,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,Medtech,Інша,понад 1000,1.0,750,750.0,
29/11/2021 11:13,1,Київ,Віддалено,1,26,Дві вищі,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Senior,,Healthtech,Продуктова,до 50,3.0,5100,3500.0,
29/11/2021 11:13,1,Київ,В офісі,1,35,Вища,,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Team Lead,,"Media, Mobile",Продуктова,до 1000,3.0,2000,500.0,
29/11/2021 11:13,1,Хмельницький,В офісі,1,36,Вища,Немає,2,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,E-commerce,Продуктова,до 1000,1.5,920,0.0,
29/11/2021 11:14,1,Київ,"Частково віддалено, частково в офісі",1,22,Вища,Немає,4,HR,Junior,,Edtech,Аутсорсингова,до 1000,2.0,700,200.0,
