full_time,programming_language,total_experience,position,salary,region,english_level,title,male,company_type,year
1,Java,2.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1300.0,Львів,5,Junior,1,Аутстафінгова,2020
1,Go,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Дніпро,5,Architect,1,Продуктова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,6,Architect,1,Стартап,2020
1,JavaScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,4,Tech Lead,1,Аутсорсингова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",6000.0,Київ,6,Senior,1,Продуктова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Львів,6,Architect,1,Продуктова,2020
1,,10.0,"Analyst (Business, Data, System)",5200.0,Київ,5,Senior,1,Аутсорсингова,2020
1,Java,2.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1250.0,Херсон,4,Junior,1,Аутсорсингова,2020
1,,10.0,"DevOps, SysAdmin",4950.0,Одеса,4,Senior,1,Аутсорсингова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,4,Tech Lead,1,Продуктова,2020
1,Ruby,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,5,Tech Lead,1,Продуктова,2020
1,TypeScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,6,Tech Lead,1,Аутстафінгова,2020
1,,4.0,Support,3500.0,Київ,5,Middle,1,Продуктова,2020
1,,5.0,"Data Science, Machine Learning, Big Data",5500.0,Київ,6,Senior,1,Аутсорсингова,2020
1,JavaScript,7.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Львів,5,Tech Lead,1,Аутсорсингова,2020
0,JavaScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,5,Tech Lead,1,Продуктова,2020
0,C++,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,6,Team Lead,1,Аутсорсингова,2020
1,,0.5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",430.0,Харків,4,Intern/Trainee,0,Аутсорсингова,2020
1,JavaScript,8.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Львів,2,Middle,1,Аутстафінгова,2020
1,,3.0,Sales Manager,2100.0,Харків,5,Middle,1,Аутсорсингова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6460.0,Київ,4,Tech Lead,1,Аутсорсингова,2020
1,,10.0,"Data Science, Machine Learning, Big Data",5300.0,Київ,6,Senior,1,Аутстафінгова,2020
1,,10.0,"Analyst (Business, Data, System)",5000.0,Київ,6,Senior,1,Продуктова,2020
1,Python,1.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1235.0,Київ,5,Junior,0,Аутстафінгова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6400.0,Київ,5,Architect,1,Продуктова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6400.0,Львів,5,Architect,1,Аутсорсингова,2020
1,JavaScript,6.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6400.0,Львів,5,Tech Lead,1,Аутсорсингова,2020
1,JavaScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,5,Senior,1,Продуктова,2020
1,JavaScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,4,Senior,1,Аутстафінгова,2020
1,JavaScript,6.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,5,Senior,1,Аутстафінгова,2020
1,Clojure,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,5,Senior,1,Продуктова,2020
1,,0.5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",400.0,Київ,3,Intern/Trainee,0,Продуктова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,5,Architect,1,Продуктова,2020
1,,6.0,"DevOps, SysAdmin",800.0,Львів,2,Middle,1,Інша,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,5,Architect,1,Аутсорсингова,2020
1,JavaScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Вінниця,4,Architect,1,Аутсорсингова,2020
1,JavaScript,6.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,5,Tech Lead,1,Продуктова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6300.0,Київ,4,Tech Lead,1,Продуктова,2020
1,Ruby,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6200.0,Київ,6,Senior,1,Продуктова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6200.0,Київ,6,Senior,1,Аутстафінгова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6200.0,Львів,5,Senior,1,Аутсорсингова,2020
1,,10.0,"Data Science, Machine Learning, Big Data",5200.0,Київ,5,Team Lead,1,Аутстафінгова,2020
1,C#/.NET,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6200.0,Львів,4,Tech Lead,1,Аутстафінгова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6200.0,Львів,6,Team Lead,1,Продуктова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",6000.0,Київ,5,Senior,1,Аутсорсингова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6175.0,Київ,5,Architect,1,Аутсорсингова,2020
1,TypeScript,6.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6175.0,Київ,5,Team Lead,1,Аутстафінгова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6150.0,Київ,5,Tech Lead,1,Продуктова,2020
1,JavaScript,6.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6150.0,Київ,6,Team Lead,1,Продуктова,2020
1,,10.0,HR,4000.0,Київ,5,Head,0,Аутсорсингова,2020
