english_level,full_time,total_experience,company_type,region,title,programming_language,position,male,salary,year
4,1,0.25,Аутсорсингова,Харків,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,450.0,2020
6,1,10.0,Аутсорсингова,Харків,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,6500.0,2020
5,1,10.0,Аутсорсингова,Львів,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,6300.0,2020
6,1,10.0,Продуктова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,6200.0,2020
4,1,9.0,Продуктова,Київ,Senior,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,0,10.0,Інша,Київ,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,1,6.0,Продуктова,Київ,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
6,1,5.0,Аутстафінгова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
6,1,9.0,Аутстафінгова,Київ,Senior,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
4,1,0.25,Аутсорсингова,Львів,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,450.0,2020
5,1,10.0,Продуктова,Київ,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
3,1,7.0,Продуктова,Тернопіль,Senior,,"DevOps, SysAdmin",1,750.0,2020
4,1,10.0,Аутсорсингова,Київ,Architect,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
2,1,1.0,Продуктова,Київ,Junior,JavaScript,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1300.0,2020
5,1,10.0,Аутстафінгова,Львів,Architect,SQL,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,1,2.0,Аутстафінгова,Львів,Junior,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1300.0,2020
5,1,10.0,Продуктова,Дніпро,Architect,Go,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
6,1,10.0,Стартап,Київ,Architect,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
4,1,10.0,Аутсорсингова,Київ,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
6,1,10.0,Продуктова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,6000.0,2020
6,1,10.0,Продуктова,Львів,Architect,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,1,10.0,Аутсорсингова,Київ,Senior,,"Analyst (Business, Data, System)",1,5200.0,2020
4,1,2.0,Аутсорсингова,Херсон,Junior,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1250.0,2020
4,1,10.0,Аутсорсингова,Одеса,Senior,,"DevOps, SysAdmin",1,4950.0,2020
4,1,10.0,Продуктова,Київ,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,1,10.0,Продуктова,Київ,Tech Lead,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
6,1,10.0,Аутстафінгова,Київ,Tech Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,1,4.0,Продуктова,Київ,Middle,,Support,1,3500.0,2020
6,1,5.0,Аутсорсингова,Київ,Senior,,"Data Science, Machine Learning, Big Data",1,5500.0,2020
5,1,7.0,Аутсорсингова,Львів,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,0,5.0,Продуктова,Київ,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
6,0,10.0,Аутсорсингова,Київ,Team Lead,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
4,1,0.5,Аутсорсингова,Харків,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,430.0,2020
2,1,8.0,Аутстафінгова,Львів,Middle,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,1,3.0,Аутсорсингова,Харків,Middle,,Sales Manager,1,2100.0,2020
