timestamp,full_time,region,salary,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,total_experience
30/11/2022 10:41,1,Львів,3300,1,24,Вища,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,Python,"Machine Learning, Media, Mobile",Продуктова,3.0
30/11/2022 10:41,1,Дніпро,800,0,27,Вища,Немає,4,"Marketing, SEO, Copywriter",Junior,,Інша,Аутсорсингова,1.5
30/11/2022 10:41,1,Київ,5100,1,29,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,PHP,Fintech / Banking,Продуктова,8.0
30/11/2022 10:41,1,Івано-Франківськ,2250,1,22,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Kotlin,"Medtech / Healthcare, Mobile",Аутсорсингова,3.0
30/11/2022 10:41,1,Львів,6450,1,29,Дві вищі,Немає,4,"DevOps, SRE",Senior,Інше,"Mobile, Telecom",Аутстафінгова,10.0
30/11/2022 10:42,1,Не Україна,4000,1,28,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Salesforce Apex,E-commerce,Аутстафінгова,5.0
30/11/2022 10:42,1,Львів,2000,0,28,Вища,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Manager,,Fintech / Banking,Аутсорсингова,3.0
30/11/2022 10:42,1,Київ,3500,1,24,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Python,ERP,Аутсорсингова,2.0
30/11/2022 10:42,0,Львів,400,1,20,Студент,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Intern/Trainee,Python,Automotive,Стартап,0.25
30/11/2022 10:43,1,Дніпро,1900,1,30,Вища,Немає,3,"Analyst (Business, Data, System)",Middle,,Retail,Інша,2.0
30/11/2022 10:43,1,Львів,6000,1,28,Вища,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,C# / .NET,Fintech / Banking,Інша,7.0
30/11/2022 10:43,1,Київ,4400,1,28,Середня спеціальна,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,JavaScript,E-commerce,Аутсорсингова,6.0
30/11/2022 10:43,1,Не Україна,,0,24,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,TypeScript,Інша,Аутсорсингова,4.0
30/11/2022 10:43,1,Харків,1500,1,28,Вища,Немає,5,"Analyst (Business, Data, System)",Middle,,"E-commerce, Mobile, Інша",Аутсорсингова,2.0
30/11/2022 10:43,1,Дніпро,3550,1,26,Середня спеціальна,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Java,"E-commerce, Fintech / Banking",Продуктова,8.0
30/11/2022 10:43,1,Львів,6500,1,33,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,C# / .NET,Fintech / Banking,Продуктова,8.0
30/11/2022 10:43,1,Київ,4500,1,26,Вища,Немає,5,"Data Science, Machine Learning, Big Data",Senior,Python,"Adtech / Advertising, Big Data, Інша",Аутстафінгова,5.0
30/11/2022 10:44,1,Київ,2865,0,26,Вища,Немає,6,HR/Recruiter,Team Lead,,"Adtech / Advertising, Dating",Продуктова,5.0
30/11/2022 10:44,1,Львів,2000,0,30,Вища,Немає,5,Sales Manager,Middle,,"Logistics, Mobile, Інша",Аутстафінгова,10.0
30/11/2022 10:44,1,Київ,5350,1,50,Вища,Кандидат наук,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,TypeScript,"Blockchain, Security",Стартап,15.0
30/11/2022 10:44,1,Київ,3700,1,24,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,JavaScript,"E-commerce, Logistics",Аутсорсингова,5.0
