english_level,timestamp,position,male,title,salary,company_type,region,programming_language,full_time,total_experience,year,title_missing
5,01/12/2024 19:29,Program Director,1,,9000.0,Стартап,Вінниця,,1,10.0,2023,1
5,01/12/2024 19:32,CEO / founder / cofounder,0,,0.0,Інша,Київ,,0,9.0,2023,1
6,01/12/2024 21:15,COO (Chief Operating Officer),1,,6000.0,Продуктова,Не Україна,,1,6.0,2023,1
5,02/12/2024 07:18,CEO / founder / cofounder,0,,3000.0,Аутсорсингова,Київ,,1,3.0,2023,1
6,02/12/2024 08:22,Program Director,0,,7100.0,Аутсорсингова,Київ,,1,13.0,2023,1
6,02/12/2024 10:14,CEO / founder / cofounder,1,,9500.0,Аутсорсингова,Івано-Франківськ,TypeScript,1,0.5,2023,1
6,02/12/2024 10:34,CTO (Chief Technology Officer) / Technical Director,1,,8000.0,Продуктова,Не Україна,,1,5.0,2023,1
6,02/12/2024 10:50,CTO (Chief Technology Officer) / Technical Director,0,,4700.0,Продуктова,Київ,C# / .NET,1,0.5,2023,1
6,02/12/2024 11:15,CEO / founder / cofounder,1,,5100.0,Продуктова,Львів,Python,1,1.5,2023,1
4,02/12/2024 12:21,Moderation team lead,1,,1200.0,Продуктова,Київ,,1,1.0,2023,1
3,02/12/2024 13:33,Cinematic Artist,1,,2000.0,Продуктова,Київ,,1,1.5,2023,1
5,02/12/2024 14:00,CEO / founder / cofounder,1,,12000.0,Продуктова,Київ,,1,14.0,2023,1
4,02/12/2024 15:02,CMO (Chief Marketing Officer),1,,5000.0,Продуктова,Львів,,1,8.0,2023,1
5,02/12/2024 15:04,CMO (Chief Marketing Officer),0,,4000.0,Продуктова,Київ,,1,4.0,2023,1
5,02/12/2024 15:14,CMO (Chief Marketing Officer),0,,4200.0,Продуктова,Київ,,0,3.0,2023,1
5,02/12/2024 15:55,Creative Marketing Manager,1,,1700.0,Продуктова,Київ,,1,3.0,2023,1
5,02/12/2024 16:07,Chief Strategy Officer,1,,4500.0,Аутсорсингова,Київ,,1,5.0,2023,1
5,02/12/2024 16:22,CMO (Chief Marketing Officer),1,,2500.0,Інша,Київ,,1,7.0,2023,1
4,02/12/2024 16:26,Technical Animator,1,,6000.0,Продуктова,Київ,Python,1,7.0,2023,1
4,02/12/2024 19:31,CMO (Chief Marketing Officer),1,,3000.0,Продуктова,Львів,,1,7.0,2023,1
5,02/12/2024 22:15,COO (Chief Operating Officer),0,,4200.0,Аутсорсингова,Київ,,1,5.0,2023,1
6,03/12/2024 05:19,Director of Product,1,,6700.0,Аутсорсингова,Не Україна,,1,7.0,2023,1
5,03/12/2024 08:40,CMO (Chief Marketing Officer),1,,10000.0,Інша,Не Україна,,1,10.0,2023,1
6,03/12/2024 09:10,Managing Director,1,,7500.0,Аутсорсингова,Не Україна,,1,5.0,2023,1
6,03/12/2024 09:57,CCO (Chief Commercial Officer),1,,4800.0,Аутстафінгова,Не Україна,,1,5.0,2023,1
5,03/12/2024 10:26,VP of People Operations,1,,8000.0,Продуктова,Не Україна,,1,10.0,2023,1
4,03/12/2024 10:30,COO (Chief Operating Officer),1,,3000.0,Продуктова,Київ,,1,4.0,2023,1
6,03/12/2024 10:56,Marketing Director,0,,7000.0,Продуктова,Не Україна,,1,9.0,2023,1
4,03/12/2024 11:07,HR Director (HRD),1,,3000.0,Продуктова,Івано-Франківськ,,1,8.0,2023,1
5,03/12/2024 11:17,CEO / founder / cofounder,1,,900.0,Інша,Не Україна,,1,5.0,2023,1
5,03/12/2024 11:54,Executive Assistant,0,,2700.0,Аутсорсингова,Не Україна,,1,6.0,2023,1
6,03/12/2024 13:40,Operations Director,1,,7500.0,Аутсорсингова,Не Україна,,1,15.0,2023,1
6,03/12/2024 13:52,Delivery Director,1,,5600.0,Аутсорсингова,Львів,,1,15.0,2023,1
5,03/12/2024 14:16,СIO (Chief information Officer),0,,5000.0,Аутсорсингова,Київ,,1,15.0,2023,1
6,03/12/2024 14:17,Delivery Director,1,,7900.0,Продуктова,Не Україна,,1,11.0,2023,1
4,03/12/2024 16:29,CLO (Chief Legal Officer),1,,1900.0,Аутсорсингова,Харків,,1,9.0,2023,1
6,03/12/2024 17:15,Engineering managerEngineering Manager,1,,7500.0,Продуктова,Не Україна,,1,15.0,2023,1
6,03/12/2024 17:24,CBDO (Chief Business Development Officer),1,,12000.0,Аутсорсингова,Не Україна,,1,15.0,2023,1
4,03/12/2024 18:04,CMO (Chief Marketing Officer),1,,3900.0,Продуктова,Київ,,1,4.0,2023,1
6,03/12/2024 19:32,CFO (Chief Financial Officer),1,,2000.0,Аутсорсингова,Київ,,1,14.0,2023,1
5,04/12/2024 05:47,CHRO (Chief Human Resources Officer),1,,2800.0,Аутсорсингова,Київ,,1,7.0,2023,1
4,04/12/2024 09:46,CTO (Chief Technology Officer) / Technical Director,1,,6500.0,Продуктова,Київ,TypeScript,1,1.0,2023,1
4,04/12/2024 12:16,CTO (Chief Technology Officer) / Technical Director,1,,5500.0,Продуктова,Дніпро,C# / .NET,1,4.0,2023,1
5,04/12/2024 14:23,COO (Chief Operating Officer),1,,3000.0,Продуктова,Дніпро,,1,15.0,2023,1
6,04/12/2024 22:22,Technical Producer,0,,8500.0,Продуктова,Харків,C++,1,10.0,2023,1
5,05/12/2024 08:54,Executive Director,1,,3500.0,Аутсорсингова,Рівне,,1,4.0,2023,1
6,05/12/2024 09:47,CTO (Chief Technology Officer) / Technical Director,1,,10000.0,Продуктова,Київ,TypeScript,1,2.0,2023,1
3,05/12/2024 12:36,COO (Chief Operating Officer),1,,2000.0,Аутсорсингова,Київ,,0,8.0,2023,1
4,05/12/2024 12:55,CAO (Chief Analytics Officer),0,,20000.0,Продуктова,Київ,SQL,1,3.0,2023,1
5,05/12/2024 13:00,Business process development team lead,1,,1850.0,Аутсорсингова,Івано-Франківськ,,1,1.5,2023,1
5,05/12/2024 13:04,COO (Chief Operating Officer),1,,500.0,Аутсорсингова,Не Україна,,0,1.0,2023,1
4,05/12/2024 13:24,COO (Chief Operating Officer),1,,2000.0,Продуктова,Київ,,1,10.0,2023,1
6,05/12/2024 13:39,CEO / founder / cofounder,0,,7000.0,Продуктова,Київ,,1,8.0,2023,1
5,05/12/2024 14:55,COO (Chief Operating Officer),1,,7500.0,Аутсорсингова,Не Україна,,1,5.0,2023,1
5,05/12/2024 15:33,CEO / founder / cofounder,0,,1650.0,Аутсорсингова,Одеса,PHP,1,10.0,2023,1
5,05/12/2024 17:12,CPO (Chief Product Officer),1,,6600.0,Продуктова,Київ,,1,8.0,2023,1
4,05/12/2024 18:35,CEO / founder / cofounder,1,,8000.0,Стартап,Харків,Python,1,2.0,2023,1
3,05/12/2024 19:29,HR Director (HRD),0,,3000.0,Аутсорсингова,Київ,,1,4.0,2023,1
6,05/12/2024 20:12,CPO (Chief Product Officer),1,,4000.0,Продуктова,Рівне,,1,7.0,2023,1
6,05/12/2024 22:36,L&D Lead,1,,1900.0,Аутсорсингова,Черкаси,,1,8.0,2023,1
5,06/12/2024 05:29,Client Partner / Engagement manager,1,,4275.0,Аутстафінгова,Київ,,1,15.0,2023,1
